pair,final_value,pnl_totale,return_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,sharpe
MPC-PSX,10120.73,120.73,1.21,58,56.9,1.24,0.85,-0.1173
KMI-WMB,9902.03,-97.97,-0.98,46,52.17,0.78,1.39,-0.2653
CVX-CTRA,10000.49,0.49,0.0,54,46.3,1.0,0.91,-0.1223
