Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,COP,CVX,EOG,MPC,OXY,PSX,VLO,XOM,COP,CVX,EOG,MPC,OXY,PSX,VLO,XOM,COP,CVX,EOG,MPC,OXY,PSX,VLO,XOM,COP,CVX,EOG,MPC,OXY,PSX,VLO,XOM,COP,CVX,EOG,MPC,OXY,PSX,VLO,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,101.0418930053711,150.52261352539062,109.50379180908203,102.99369049072266,57.55015182495117,89.25123596191406,108.28772735595703,94.79080963134766,105.38297901804819,154.85687091436705,113.7449255293907,107.38568931695858,59.34123090191194,92.29017957586197,114.1874427062318,97.91460283791434,99.9700159615634,148.37710100485415,108.13114695518162,102.43656771612244,56.66404102464984,88.81836537408337,107.92688717063561,93.88303544230634,104.11459084213651,154.02634780952764,112.62744632602804,107.38568931695858,58.72849237663326,91.34492770616184,113.43870052611933,97.70101170693859,5424400,7565400,2994900,4363900,13104000,2877200,3671600,15146200
2023-01-04,101.2383804321289,148.9221954345703,109.42459869384766,102.677978515625,57.60670852661133,88.94207000732422,107.90885925292969,95.06671142578125,102.1048120165134,150.7822036393492,110.46288318418827,104.12649898183405,58.29485891826825,90.1081755388184,108.78388767223603,95.36930512671613,98.66588822279626,147.80619315184748,106.76729124815891,101.21088327799296,56.27754064212146,87.7936297799831,106.18585046163429,93.23337315579307,99.34474288913621,147.8926974865334,107.28643684988853,101.28516819528565,56.50377999488034,87.94381519487942,106.46549836458505,93.26897281413486,4837600,7684500,2469700,3664600,12238000,2959100,3283700,18058400
2023-01-05,104.30216979980469,151.6040496826172,109.44222259521484,107.45995330810547,58.653076171875,91.00923919677734,114.19647216796875,97.19373321533203,105.22219982825975,152.4259132983728,110.6388900080985,107.50637606449482,59.133837499640165,91.0534125596805,114.53927348149404,97.85230986173873,101.40811467389011,148.14356018409268,108.95828046006595,102.3715502338558,57.267346633477615,88.51801385098067,107.3495582677471,94.61281592759985,101.40811467389011,148.36848724923763,109.23984886820797,102.6779701796615,57.61613440444488,88.51801385098067,107.90886096497711,94.63951397151716,5177700,6088200,3560200,4093600,10692800,3348400,4974600,15946600
2023-01-06,105.60628509521484,152.74600219726562,112.16111755371094,108.47206115722656,60.095375061035156,93.37678527832031,115.07150268554688,98.36849212646484,107.35701009076683,155.1943000670087,113.63934658166414,110.82126662745871,60.92492431588745,93.93333998376161,118.71598264026831,99.6678489529529,104.98995596999649,152.00199643755317,110.52449917205415,107.76636865238001,59.33180900099003,91.7159706621931,113.12297654854108,97.60311653429603,105.84745350976984,153.1439642922968,111.01724218137188,108.4999162285417,59.77486625020256,92.06933733836514,115.26094224869642,97.96800789821037,4442300,7191200,2595700,3102800,9832700,3101300,4818800,16348100
2023-01-09,104.82917022705078,151.55210876464844,112.40748596191406,107.48783111572266,60.406455993652344,90.11699676513672,115.99163818359375,96.5351791381836,107.77682342970418,154.27725176081913,114.56324328141517,111.35055522383307,62.763137261893895,94.49872612588683,118.6167438538505,99.35638627069021,104.38255651845387,150.86002152820942,111.80035140421498,106.6799984743171,60.31218658531654,89.71945671790657,114.57534611673192,95.94779487491667,107.4731225641704,154.2166868672359,114.06170609868961,110.85842997997241,61.15116813745913,94.26020074956696,116.96590463126353,99.35638627069021,5403200,8385600,3160300,3716700,12519800,4707400,4438500,17964600
2023-01-10,105.47229766845703,152.29611206054688,112.28428649902344,108.17493438720703,60.47243881225586,89.7282943725586,119.08583068847656,97.9769058227539,105.95464130345484,152.8757555731801,113.23458220028196,108.53706450211064,60.88720979766815,91.38910905682688,119.14898409129286,98.19050375519916,104.22177789047579,150.28903534473508,110.94683179804055,105.89072632235366,59.50148374818391,88.84488101583756,115.53157975242625,96.12577127114169,105.6062831473094,152.60755659239737,113.16418843431043,107.45996154306903,60.57613335661394,90.49686641927315,117.31772811834725,97.70991859210734,4042700,8307000,2575200,2752200,6613500,3259200,3518100,15104600
2023-01-11,105.6152114868164,151.56942749023438,111.61557006835938,109.19631958007812,60.41587829589844,89.59577941894531,120.5201644897461,99.1160888671875,106.78534407712326,154.11288921755096,114.09689350010241,110.28270984897233,61.27371374043439,90.75305547869397,121.88232600193551,99.18728139843533,104.42722416084895,150.79082268423576,110.58608631450336,108.79704703456156,59.98225339617272,88.80954208471557,119.28428224182598,97.08694895295193,106.4637816508327,153.896608638027,113.65694248941662,109.85558223259167,61.27371374043439,90.5233661228792,120.26757843139187,98.77789548651107,4569900,6962600,2771100,2976900,7613900,3551100,4172500,16710400
2023-01-12,107.3302001953125,153.19586181640625,114.7832260131836,112.3626480102539,61.97128677368164,90.8678970336914,122.07179260253906,100.76254272460938,108.16982925890237,154.31186379948187,116.23507253080918,113.12405066665848,62.668869586598696,91.67179967136529,123.83087928711983,101.22532477193947,105.26684041066916,152.17501061572034,112.27550637619454,109.9855803566353,60.56670679332963,89.86080636149262,120.71864688133692,99.44538232999955,105.74918399091888,152.25288165696853,112.54828059153037,109.9855803566353,60.80237491314803,90.05515837540975,121.08849625046717,99.51658165726312,5072500,6891400,4005400,3091300,12351900,2231600,3269400,15357300
2023-01-13,108.50033569335938,153.61111450195312,114.6371078491211,113.21692657470703,61.5659294128418,91.01806640625,122.80248260498047,100.70021057128906,108.83975965931037,153.98312395781173,115.29237075585674,114.10832447175036,62.33892045888811,91.32725969691361,123.69554992427274,101.00279742376226,105.85638335047769,151.98468034285915,113.28228396076257,111.64769109663867,60.96261967895293,89.68411050663465,121.23282869590442,99.81914126503796,107.7053638355071,153.20450596217964,115.00015344135716,112.46481114874562,61.98070755189764,90.8678877707717,122.07178615650159,100.66461091983234,4360200,5726300,2111400,2780500,7200100,2133200,2604000,12011400
2023-01-17,107.40164947509766,156.1459503173828,115.16841888427734,113.06835174560547,61.009761810302734,90.5586929321289,124.1375961303711,100.50442504882812,109.45607500691132,156.8640035099742,115.97422916346656,116.34610502872415,62.206952651340295,92.76722602755751,126.15829881191223,101.52789305424207,106.79425463380538,154.1475064388422,113.93757131422568,112.6226563587783,60.85893076688572,90.42617959842157,122.73032670202907,100.27303068822692,108.13409559417511,154.37244671647355,114.96475715286081,114.05260930289965,61.66962964520218,91.47744350861619,124.14661214699503,100.93161411532729,5228500,10697700,3127700,3746900,7503300,2600800,2781100,16542200
2023-01-18,105.8921127319336,153.3256072998047,114.0438232421875,112.64122772216797,60.726959228515625,90.7353744506836,122.2522201538086,98.43971252441406,110.50116264780762,157.78099465164874,118.49791177211492,116.85680176616017,63.20619244535765,93.20893425624209,126.83487572237878,101.56351325982669,105.72239734242028,153.07472766440972,113.60993580843858,112.36266986736537,60.594985657127104,90.37317852153086,121.33207712736642,98.25281939185997,108.25915992891213,156.4314061010441,116.36384821141576,114.0526130229569,61.46224260968603,91.1859170971056,125.39151465207384,100.79813750368638,5138700,8899200,3737400,3709300,13922500,2908000,3564400,16399700
2023-01-19,106.86571502685547,154.85693359375,116.25756072998047,114.42403411865234,61.905296325683594,92.21066284179688,124.91336059570312,99.07157897949219,107.41951841343285,155.67879736094667,116.80658120087972,114.82330676533037,62.235230235507416,92.59936678739648,125.27419385480013,99.7924533715099,103.84660916662449,152.39998876524038,113.01662666947293,111.62912559190619,60.12364602061512,89.95796333684488,120.8358786963557,97.52303122295994,104.99887321649422,152.78929126541541,114.20320295534074,111.86126068685385,60.368742864492745,90.70886317182888,121.49440558841567,97.95911514492641,5049100,5907200,2449600,2475500,10038400,2696800,3224800,12928000
2023-01-20,108.79509735107422,156.5006103515625,117.55040740966797,116.73606872558594,63.074222564697266,94.4898910522461,128.75631713867188,100.87821197509766,108.89335290782319,156.89857239642154,118.1702561964958,117.13534127322855,63.26275419427826,94.73724571171677,128.88261018394883,100.95831289624998,106.51736481157964,153.57650611171212,115.71741152038051,113.77402338181399,61.67906405292764,91.72480969472178,124.27289338397637,98.43969332460324,107.33020499654214,154.69250801022366,116.31070983601232,114.45186080797905,62.3295104014172,92.58172172210875,125.47268419656203,99.10717157779966,5101400,10477900,2476900,2882000,12439900,2986400,3709800,16515600
2023-01-23,107.30341339111328,156.29299926757812,118.81666564941406,117.81317138671875,62.687713623046875,94.47222137451172,129.07203674316406,100.35313415527344,110.0188257144821,157.92807990100115,119.56934784135164,119.6145486243515,63.82834634622839,96.00935864423714,132.52706980675032,101.98177596215017,107.16050053977006,155.74796798953085,118.0020053363689,117.07034351909806,62.52746104362904,94.17185734484775,128.91868190931183,100.24633518845364,109.38463502930489,156.76881917692742,118.21453070521582,117.21890625894254,63.45127595370089,94.9669306705363,129.51406921596697,101.13630620879853,3963200,8381300,2695200,3963400,9891500,3070100,3908300,16584400
2023-01-24,106.12433624267578,156.4400634765625,117.55926513671875,120.90521240234375,60.736385345458984,94.5340576171875,130.8311309814453,101.28759765625,108.08050626405347,157.4522549600768,119.41882512863491,121.39733752084317,63.59268167611199,94.75491093867618,132.21133833427209,101.47449075204588,105.07926190856318,154.5973487959317,117.22278349459671,115.32467734523539,60.56670401928059,92.19301106142584,127.96246903710995,93.33126150834865,108.08050626405347,156.664990517104,118.65729270958337,115.32467734523539,60.67039856261294,94.47221895676702,132.21133833427209,97.1492379251671,4216900,5989000,2313100,3782200,8519100,2360500,3142400,13583000
2023-01-25,107.51778411865234,154.9261016845703,117.32901000976562,120.5338134765625,60.82122802734375,96.15953063964844,129.3155975341797,100.75363159179688,107.52671148596845,155.7479652220872,117.59466330080451,121.49950331806382,60.84008550533772,96.16836665929749,130.74089853863845,101.14522106480675,104.1860429327943,152.56432152286263,115.80594555360949,119.12242826043008,58.73792621029685,93.23543494727754,128.12482300601135,99.1338843942664,105.57947548993752,155.10776997354552,116.96595096240206,120.20883287421918,60.19906790193392,93.95983354061053,129.92000081199612,100.77143481690146,3984700,6727500,2576300,3671600,10053300,2889100,2955900,11914700
2023-01-26,111.3407974243164,162.46128845214844,120.36629486083984,125.67790985107422,63.243892669677734,98.49175262451172,135.2784881591797,104.80298614501953,111.41225725228267,162.47859459195752,120.42828649391107,125.74290029136009,63.281600431585474,98.65076729730211,135.31456598688268,104.82078257732437,107.90187327715506,158.7326139666669,117.488413014478,120.4223694157136,61.04747127670856,95.65599657634041,127.28590724429144,101.75928018546416,109.23278020280146,160.038956907555,119.01147771871852,121.3694842972897,61.631923606228,96.7779353065585,130.9935269029284,102.09747350871467,5807400,14307800,2617800,4005300,12564400,2723600,4708100,21019700
2023-01-27,110.41182708740234,155.24620056152344,119.24174499511719,123.35658264160156,62.72541809082031,96.05353546142578,129.1893310546875,102.8895492553711,112.89499789079453,159.38148427171816,122.15504166667434,126.70861364023078,64.03573206229694,98.80094474918694,135.66638159079307,104.72288736757501,110.33143308672278,153.92256444344585,119.0469334048582,122.93872817825194,62.69713907146773,96.02702739969192,129.12617765086972,102.69375454631242,111.37651420685619,159.38148427171816,120.42831485455426,125.50150843495481,63.30044879105327,98.4475848049755,135.35967188201627,104.0821071524521,4857500,19654700,3035600,3400600,8761000,2506700,3638500,15179200
2023-01-30,107.66070556640625,150.7042999267578,116.97484588623047,119.91168212890625,60.453582763671875,94.0128402709961,126.46497344970703,101.06511688232422,109.50968615152263,154.28590567098496,118.2322573873393,123.96011801044011,62.17867510562483,96.2302095058525,129.45091214773302,102.78276139288234,107.48206279882181,150.24578617018352,116.37269736486368,119.79096736774243,60.39702471705708,93.54463230783904,126.06804858986543,100.70023225870281,109.05413823496214,153.99176726124264,117.93117637081028,122.75301290399943,62.046701535510195,95.73550022250292,128.99084765922956,102.42677159158632,5246300,11476000,2927000,4152300,9515100,3110000,2991300,18672100
2023-01-31,108.85762786865234,150.54856872558594,117.10765075683594,119.33599090576172,61.075748443603516,88.57984161376953,126.32064056396484,103.24552917480469,109.05413217616399,151.07629379486232,118.4181900595373,123.49584704975977,61.075748443603516,92.49336249258523,127.81812487278557,103.5926172932483,106.38338410488426,148.2992457285056,116.48780199959135,117.65532832038524,59.98224855358914,87.57275107067998,124.55253816973722,98.27948977100316,107.38380126621655,149.4498598369514,116.88627523555648,122.1494665885362,60.51956796239595,92.49336249258523,126.48302518011667,99.76573958997344,5200100,14481300,4043200,5408700,10315300,7890100,5427300,27861800
2023-02-01,105.13285827636719,148.24734497070312,112.71556854248047,114.1825942993164,59.85969924926758,86.56568145751953,122.8926773071289,102.11528015136719,108.05371558013523,150.23712872789935,116.65605713056546,119.87455049707863,60.811800416446694,89.74596850673015,128.4225366301907,104.46480326704186,102.89978986085569,146.67281618521267,111.03311312036807,113.16120145347092,58.719066473071955,85.71760536039068,121.1335908120409,100.8693192773117,107.82147455678253,149.9343306689304,116.20444239035669,119.64241543737738,60.57613230916611,88.16466437369105,127.0874368499327,103.085352162503,7282300,11526400,4991700,5189900,12695000,4467800,4159200,19464900
2023-02-02,99.41622924804688,146.2143096923828,110.46638488769531,111.33198547363281,58.888755798339844,87.44025421142578,120.0240249633789,98.92028045654297,103.0695266640615,148.30790399585376,112.55617034467559,114.05260888699584,59.75601282486901,87.45791951243406,122.12591291167485,102.40896523331214,98.04065800040664,144.31970301497364,108.99644818666478,109.65132268187449,58.00264129313521,85.10803682371143,118.03038426506758,97.74551897906191,101.37239295256846,148.04837787615264,112.28166686073281,113.98761134814555,59.59576021623183,86.57450618402564,122.00863588091838,102.2131705220753,11531300,10463400,3928600,6275700,13098500,4668700,4171100,24562100
2023-02-03,96.56681823730469,146.59494018554688,110.35128784179688,109.75344848632812,57.72926712036133,87.29006958007812,118.833251953125,99.6055679321289,100.3898305566356,148.41170191277303,113.18489221144556,113.17047669573357,60.349891997990305,88.88021628096352,122.48674810942866,101.554606893153,96.25418999900135,145.76443034506102,110.1299122892979,109.60488573854502,57.512449274719955,87.02504962320315,118.62577346587658,99.28517777990739,99.4251432943415,146.94964342193074,110.68777624949088,111.95409130422387,59.09613940733932,87.70527492641536,120.77276905580963,99.58777149697923,13504200,8404900,4205800,3255100,17851500,3525100,3027300,20226600
